using cuda
{'loss': 0.1509, 'grad_norm': 1.8929321765899658, 'learning_rate': 9.37844217151849e-06, 'epoch': 1.26}
{'loss': 0.156, 'grad_norm': 1.5434516668319702, 'learning_rate': 9.3705743509048e-06, 'epoch': 1.27}
{'loss': 0.1598, 'grad_norm': 2.051142692565918, 'learning_rate': 9.36270653029111e-06, 'epoch': 1.29}
{'loss': 0.1481, 'grad_norm': 0.8633257746696472, 'learning_rate': 9.35483870967742e-06, 'epoch': 1.31}
{'loss': 0.1483, 'grad_norm': 1.511889934539795, 'learning_rate': 9.34697088906373e-06, 'epoch': 1.32}
{'loss': 0.1569, 'grad_norm': 6.3645734786987305, 'learning_rate': 9.33910306845004e-06, 'epoch': 1.34}
{'loss': 0.1577, 'grad_norm': 0.6303589940071106, 'learning_rate': 9.33123524783635e-06, 'epoch': 1.35}
{'loss': 0.1573, 'grad_norm': 1.8274890184402466, 'learning_rate': 9.32336742722266e-06, 'epoch': 1.37}
{'loss': 0.1479, 'grad_norm': 0.6380229592323303, 'learning_rate': 9.31549960660897e-06, 'epoch': 1.38}
{'loss': 0.1502, 'grad_norm': 0.5686193704605103, 'learning_rate': 9.30763178599528e-06, 'epoch': 1.4}
{'loss': 0.1595, 'grad_norm': 0.8551191091537476, 'learning_rate': 9.299763965381589e-06, 'epoch': 1.42}
{'loss': 0.1475, 'grad_norm': 0.7022677659988403, 'learning_rate': 9.291896144767901e-06, 'epoch': 1.43}
{'loss': 0.1557, 'grad_norm': 3.156852960586548, 'learning_rate': 9.28402832415421e-06, 'epoch': 1.45}
{'loss': 0.1557, 'grad_norm': 1.1392714977264404, 'learning_rate': 9.27616050354052e-06, 'epoch': 1.46}
{'loss': 0.1529, 'grad_norm': 0.814347505569458, 'learning_rate': 9.268292682926831e-06, 'epoch': 1.48}
{'loss': 0.1465, 'grad_norm': 0.6277168989181519, 'learning_rate': 9.26042486231314e-06, 'epoch': 1.49}
{'loss': 0.158, 'grad_norm': 1.663250207901001, 'learning_rate': 9.25255704169945e-06, 'epoch': 1.51}
{'loss': 0.1691, 'grad_norm': 1.1144871711730957, 'learning_rate': 9.24468922108576e-06, 'epoch': 1.53}
{'loss': 0.1577, 'grad_norm': 0.8264369964599609, 'learning_rate': 9.23682140047207e-06, 'epoch': 1.54}
{'loss': 0.1617, 'grad_norm': 0.8552389144897461, 'learning_rate': 9.22895357985838e-06, 'epoch': 1.56}
{'loss': 0.1512, 'grad_norm': 3.368813991546631, 'learning_rate': 9.22108575924469e-06, 'epoch': 1.57}
{'loss': 0.1577, 'grad_norm': 0.6783069968223572, 'learning_rate': 9.213217938630999e-06, 'epoch': 1.59}
{'loss': 0.1437, 'grad_norm': 1.0063446760177612, 'learning_rate': 9.20535011801731e-06, 'epoch': 1.6}
{'loss': 0.1444, 'grad_norm': 0.7222598195075989, 'learning_rate': 9.19748229740362e-06, 'epoch': 1.62}
{'loss': 0.1423, 'grad_norm': 0.9902438521385193, 'learning_rate': 9.189614476789929e-06, 'epoch': 1.64}
{'loss': 0.1525, 'grad_norm': 0.7982043027877808, 'learning_rate': 9.18174665617624e-06, 'epoch': 1.65}
{'loss': 0.1481, 'grad_norm': 7.273974895477295, 'learning_rate': 9.17387883556255e-06, 'epoch': 1.67}
{'loss': 0.1525, 'grad_norm': 0.7241265177726746, 'learning_rate': 9.16601101494886e-06, 'epoch': 1.68}
{'loss': 0.1474, 'grad_norm': 0.7197014093399048, 'learning_rate': 9.15814319433517e-06, 'epoch': 1.7}
{'loss': 0.1617, 'grad_norm': 0.7980695962905884, 'learning_rate': 9.15027537372148e-06, 'epoch': 1.71}
{'loss': 0.1555, 'grad_norm': 1.131454586982727, 'learning_rate': 9.14240755310779e-06, 'epoch': 1.73}
{'loss': 0.1749, 'grad_norm': 0.7592098116874695, 'learning_rate': 9.1345397324941e-06, 'epoch': 1.75}
{'loss': 0.1567, 'grad_norm': 0.7167909741401672, 'learning_rate': 9.12667191188041e-06, 'epoch': 1.76}
{'loss': 0.1515, 'grad_norm': 1.4544230699539185, 'learning_rate': 9.11880409126672e-06, 'epoch': 1.78}
{'loss': 0.1574, 'grad_norm': 1.5363689661026, 'learning_rate': 9.11093627065303e-06, 'epoch': 1.79}
{'loss': 0.1466, 'grad_norm': 1.3374627828598022, 'learning_rate': 9.10306845003934e-06, 'epoch': 1.81}
{'loss': 0.1464, 'grad_norm': 0.8133181929588318, 'learning_rate': 9.09520062942565e-06, 'epoch': 1.82}
{'loss': 0.1588, 'grad_norm': 1.088276982307434, 'learning_rate': 9.087332808811959e-06, 'epoch': 1.84}
{'loss': 0.1431, 'grad_norm': 1.099127173423767, 'learning_rate': 9.07946498819827e-06, 'epoch': 1.86}
{'loss': 0.1528, 'grad_norm': 0.9991386532783508, 'learning_rate': 9.071597167584579e-06, 'epoch': 1.87}
{'loss': 0.1581, 'grad_norm': 1.7190158367156982, 'learning_rate': 9.063729346970889e-06, 'epoch': 1.89}
{'loss': 0.1551, 'grad_norm': 0.5622321367263794, 'learning_rate': 9.055861526357201e-06, 'epoch': 1.9}
{'loss': 0.1546, 'grad_norm': 1.0005214214324951, 'learning_rate': 9.04799370574351e-06, 'epoch': 1.92}
{'loss': 0.1445, 'grad_norm': 0.585566520690918, 'learning_rate': 9.04012588512982e-06, 'epoch': 1.93}
{'loss': 0.1526, 'grad_norm': 0.5183007717132568, 'learning_rate': 9.03225806451613e-06, 'epoch': 1.95}
{'loss': 0.1537, 'grad_norm': 0.6950750946998596, 'learning_rate': 9.02439024390244e-06, 'epoch': 1.97}
{'loss': 0.1407, 'grad_norm': 0.5369767546653748, 'learning_rate': 9.01652242328875e-06, 'epoch': 1.98}
{'loss': 0.1461, 'grad_norm': 0.7042561173439026, 'learning_rate': 9.00865460267506e-06, 'epoch': 2.0}
{'loss': 0.1526, 'grad_norm': 0.5277974605560303, 'learning_rate': 9.00078678206137e-06, 'epoch': 2.01}
{'loss': 0.161, 'grad_norm': 0.4252474904060364, 'learning_rate': 8.99291896144768e-06, 'epoch': 2.03}
{'loss': 0.1554, 'grad_norm': 4.301168441772461, 'learning_rate': 8.98505114083399e-06, 'epoch': 2.04}
{'loss': 0.1588, 'grad_norm': 1.173215389251709, 'learning_rate': 8.9771833202203e-06, 'epoch': 2.06}
{'loss': 0.1464, 'grad_norm': 0.5746262073516846, 'learning_rate': 8.96931549960661e-06, 'epoch': 2.08}
{'loss': 0.1578, 'grad_norm': 1.2713987827301025, 'learning_rate': 8.961447678992919e-06, 'epoch': 2.09}
{'loss': 0.149, 'grad_norm': 0.7032002806663513, 'learning_rate': 8.95357985837923e-06, 'epoch': 2.11}
{'loss': 0.1417, 'grad_norm': 0.626775324344635, 'learning_rate': 8.94571203776554e-06, 'epoch': 2.12}
{'loss': 0.1605, 'grad_norm': 1.2339613437652588, 'learning_rate': 8.93784421715185e-06, 'epoch': 2.14}
{'loss': 0.1507, 'grad_norm': 1.1666964292526245, 'learning_rate': 8.92997639653816e-06, 'epoch': 2.15}
{'loss': 0.1674, 'grad_norm': 0.5773178935050964, 'learning_rate': 8.92210857592447e-06, 'epoch': 2.17}
{'loss': 0.1446, 'grad_norm': 1.2015548944473267, 'learning_rate': 8.91424075531078e-06, 'epoch': 2.19}
{'loss': 0.1515, 'grad_norm': 0.5258691310882568, 'learning_rate': 8.90637293469709e-06, 'epoch': 2.2}
